well;bacteria;medium;type;plate_col;plate_row;corrected_medium;growthrate;yield;lag
A1;EC;RI;s;1;A;"RI_SM
EC";0,21974564697436882;0,4497500000000000;19,5317364108335454
A2;BA;RI;s;2;A;"RI_SM
EC";0,29180844420395452;1,5842500000000002;-0,0728418326284084
A3;FP;RI;s;3;A;"RI_SM
EC";0,34662556021894642;1,2802500000000001;11,1678325140710175
A4;BT;RI;s;4;A;"RI_SM
EC";0,09338374155152677;0,4712500000000000;-0,0581663001807198
A5;LJ;RI;s;5;A;"RI_SM
EC";0,28196665680722277;1,2973749999999999;2,8859848799839809
A6;LB;RI;s;6;A;"RI_SM
EC";0,14474920525676382;1,2822500000000001;5,0233663935959463
A7;BOV;RI;s;7;A;"RI_SM
EC";0,20966371794551497;1,2020000000000000;14,9299810548083567
A8;BOB;RI;s;8;A;"RI_SM
EC";0,09757054608643174;1,0449999999999999;7,2317492611872440
A9;AM;RI;s;9;A;"RI_SM
EC";0,09358724073793277;0,7769999999999999;10,5804949864607245
A10;RI;RI;s;10;A;"RI_SM
EC";0,17506919419425990;0,1615000000000000;21,2561076931447275
A12;EC;;p;12;A;"RI_SM
EC";0,23397850152854499;0,5934999999999999;18,0855914691168387
B1;EC;RI;s;1;B;"RI_SM
BA";0,23995492403495722;0,4268750000000001;17,8116169784829097
B2;BA;RI;s;2;B;"RI_SM
BA";0,30239554208757652;1,2186250000000001;0,0706180472786997
B3;FP;RI;s;3;B;"RI_SM
BA";0,41527862125212417;1,5852500000000000;10,4326903025639055
B4;BT;RI;s;4;B;"RI_SM
BA";0,09057506121769172;0,4990000000000000;0,1276378734764425
B5;LJ;RI;s;5;B;"RI_SM
BA";0,27685852268653749;1,2845000000000000;3,0026897697839949
B6;LB;RI;s;6;B;"RI_SM
BA";0,15487557188010603;1,2580000000000000;5,4204075434044210
B7;BOV;RI;s;7;B;"RI_SM
BA";0,20040406016635742;1,2350000000000001;14,1822207830989591
B8;BOB;RI;s;8;B;"RI_SM
BA";0,10540886424940676;1,0489999999999999;6,9888712767799284
B9;AM;RI;s;9;B;"RI_SM
BA";0,09400357222960221;0,6620000000000000;12,0692180695509084
B10;RI;RI;s;10;B;"RI_SM
BA";0,13140888774787748;0,1120000000000000;21,3188756064127070
B12;BA;;p;12;B;"RI_SM
BA";0,13834903323531322;1,4392500000000001;7,6088762296569996
C1;EC;FP;s;1;C;"FP_SM
FP";0,00464359613347606;0,0653750000000000;-1,7748091430447457
C2;BA;FP;s;2;C;"FP_SM
FP";0,30051048328118096;1,2841250000000000;-0,0648646234912035
C3;FP;FP;s;3;C;"FP_SM
FP";0,28088528707249988;1,5671249999999999;12,0827524436151172
C4;BT;FP;s;4;C;"FP_SM
FP";0,09209103109106952;0,5130000000000000;-1,3242946223125669
C5;LJ;FP;s;5;C;"FP_SM
FP";0,24194303150008264;1,2172500000000002;2,5917122428588071
C6;LB;FP;s;6;C;"FP_SM
FP";0,10799254103409456;0,8382500000000001;2,3563297874166631
C7;BOV;FP;s;7;C;"FP_SM
FP";0,15882930779630530;0,5700000000000000;17,6482831141529779
C8;BOB;FP;s;8;C;"FP_SM
FP";0,08687068220483091;0,7500000000000000;9,7007269076422791
C9;AM;FP;s;9;C;"FP_SM
FP";0,03035524805462601;0,4525000000000000;-1,0193352979451402
C10;RI;FP;s;10;C;"FP_SM
FP";0,01839499374707399;0,0130000000000000;26,6768779004778196
C12;FP;;p;12;C;"FP_SM
FP";0,26774301784562243;0,7486250000000000;12,3686764605692137
D1;EC;FP;s;1;D;"FP_SM
BT";0,24868677593558769;0,3755000000000000;20,3545920959905331
D2;BA;FP;s;2;D;"FP_SM
BT";0,31903988388908877;1,4660000000000000;-0,5545015367798131
D3;FP;FP;s;3;D;"FP_SM
BT";0,10904850993728529;0,3650000000000000;17,0551939593789790
D4;BT;FP;s;4;D;"FP_SM
BT";0,07282021289947856;0,4792500000000000;-0,5338460293354192
D5;LJ;FP;s;5;D;"FP_SM
BT";0,24887008886605314;1,1926250000000000;2,6184470942283240
D6;LB;FP;s;6;D;"FP_SM
BT";0,10166595444103671;0,8036250000000000;1,6727913809026034
D7;BOV;FP;s;7;D;"FP_SM
BT";0,16111586740350697;0,6292500000000001;16,7815069887173394
D8;BOB;FP;s;8;D;"FP_SM
BT";0,07282222342912109;0,7164999999999999;7,9487923489119918
D9;AM;FP;s;9;D;"FP_SM
BT";0,07096421754592472;0,4550000000000000;2,9061820747332279
