well;bacteria;medium;type;plate_col;plate_row;corrected_medium;growthrate;yield;lag
A1;EC;RI;s;1;A;"RI_SM
EC";0,24461001184023010;0,449250;19,53416284366079836
A2;BA;RI;s;2;A;"RI_SM
EC";0,32016290106754286;1,579375;-0,11120040048271289
A3;FP;RI;s;3;A;"RI_SM
EC";0,37771191215414796;1,281375;11,11634519044145186
A4;BT;RI;s;4;A;"RI_SM
EC";0,10606688658177955;0,470625;-0,06266017553767404
A5;LJ;RI;s;5;A;"RI_SM
EC";0,30042927584359030;1,304750;2,78042068632582540
A6;LB;RI;s;6;A;"RI_SM
EC";0,15853525901661022;1,283500;4,87684525451250295
A7;BOV;RI;s;7;A;"RI_SM
EC";0,22390795035364183;1,204625;14,72667455039941764
A8;BOB;RI;s;8;A;"RI_SM
EC";0,10432252458477594;1,045875;6,83692237852926610
A9;AM;RI;s;9;A;"RI_SM
EC";0,10007764422599952;0,778625;10,19705443830643432
A10;RI;RI;s;10;A;"RI_SM
EC";0,20184266123755251;0,161375;21,27611675985231443
A12;EC;;p;12;A;"RI_SM
EC";0,25630597895061114;0,595125;18,06892485503128398
B1;EC;RI;s;1;B;"RI_SM
BA";0,26907783338033953;0,425375;17,78349720247102894
B2;BA;RI;s;2;B;"RI_SM
BA";0,33016615165335911;1,219500;0,04446122399504940
B3;FP;RI;s;3;B;"RI_SM
BA";0,44339153287105826;1,577625;10,33970810224290737
B4;BT;RI;s;4;B;"RI_SM
BA";0,10215433789489324;0,499625;0,07279189430956197
B5;LJ;RI;s;5;B;"RI_SM
BA";0,29441502680981319;1,283750;2,90751078166789645
B6;LB;RI;s;6;B;"RI_SM
BA";0,17200405557232912;1,256750;5,34976392467121276
B7;BOV;RI;s;7;B;"RI_SM
BA";0,21434995867158843;1,234375;13,95986948248745740
B8;BOB;RI;s;8;B;"RI_SM
BA";0,11289591790148233;1,052500;6,67235677132032201
B9;AM;RI;s;9;B;"RI_SM
BA";0,10158442578690889;0,668375;11,80005559252741065
B10;RI;RI;s;10;B;"RI_SM
BA";0,15292826992085631;0,111875;21,26639686902412407
B12;BA;;p;12;B;"RI_SM
BA";0,05207045003932168;1,440875;-1,71367582328432588
C1;EC;FP;s;1;C;"FP_SM
FP";0,00500172000754395;0,065375;-0,38812572521969096
C2;BA;FP;s;2;C;"FP_SM
FP";0,32872362287748152;1,284375;-0,08776790647002804
C3;FP;FP;s;3;C;"FP_SM
FP";0,31075326599583813;1,567250;12,04218365385468203
C4;BT;FP;s;4;C;"FP_SM
FP";0,10413187750404775;0,513500;-1,44300322659508384
C5;LJ;FP;s;5;C;"FP_SM
FP";0,25958010308287283;1,217625;2,52468943443404292
C6;LB;FP;s;6;C;"FP_SM
FP";0,12229167342290363;0,838750;2,34159242806874257
C7;BOV;FP;s;7;C;"FP_SM
FP";0,17085131640984660;0,567875;17,48475354811952798
C8;BOB;FP;s;8;C;"FP_SM
FP";0,09328822069132292;0,751625;9,24801269187009289
C9;AM;FP;s;9;C;"FP_SM
FP";0,06929951886342493;0,451875;2,04348297823547975
C10;RI;FP;s;10;C;"FP_SM
FP";0,02251234182380051;0,013375;26,67087272641179396
C12;FP;;p;12;C;"FP_SM
FP";0,29305850378972181;0,748625;12,32185242602557906
D1;EC;FP;s;1;D;"FP_SM
BT";0,27965039915771034;0,373250;20,34314336539888401
D2;BA;FP;s;2;D;"FP_SM
BT";0,34849247085657997;1,465500;-0,59332364375929680
D3;FP;FP;s;3;D;"FP_SM
BT";0,12205379163480233;0,366875;16,95942646408338916
D4;BT;FP;s;4;D;"FP_SM
BT";0,08215986573324581;0,479375;-0,54341079950853821
D5;LJ;FP;s;5;D;"FP_SM
BT";0,26764016641842064;1,196125;2,50968098640676462
D6;LB;FP;s;6;D;"FP_SM
BT";0,11530933731501170;0,804500;1,66447626952812944
D7;BOV;FP;s;7;D;"FP_SM
BT";0,17353790244054956;0,632875;16,55431234254357165
D8;BOB;FP;s;8;D;"FP_SM
BT";0,07784385297626205;0,716625;7,62139241175798965
D9;AM;FP;s;9;D;"FP_SM
BT";0,08143096561318378;0,454375;2,81072937645614118
D10;RI;FP;s;10;D;"FP_SM
BT";0,00690069688892114;0,051250;23,43076155871307265
D12;BT;;p;12;D;"FP_SM
BT";0,03916604446687939;0,292750;-0,15361465941107935
E1;EC;LB;s;1;E;"LB_SM
LJ";0,28788812432626132;0,561250;17,20047693515422083
E2;BA;LB;s;2;E;"LB_SM
LJ";0,34761237788458704;1,592875;-0,41732194127014455
E3;FP;LB;s;3;E;"LB_SM
LJ";0,01397816005948845;0,072500;6,78314533328944158
E4;BT;LB;s;4;E;"LB_SM
LJ";0,10644082835403312;0,499375;-0,56744030413738944
E5;LJ;LB;s;5;E;"LB_SM
LJ";0,29141418047823286;1,182625;3,42628304074205170
